sequence,variant,mean_local_median_error_m,best_local_median_error_m,mean_local_ratio_below_20cm,mean_local_ratio_below_10cm
Sequence_01,enhanced_long_finetune,0.29266143047690096,0.10493687335854629,0.43859545517005616,0.1893752288119914
Sequence_02,partition_mid_finetune,0.20645992095478344,0.09062928262148018,0.5533431856611505,0.3239407157804925
Sequence_03,partition_best_finetune,0.19234003817850825,0.11849182101053518,0.5867769965090416,0.3267145692498915
Sequence_04,partition_best_finetune,0.13966548732419312,0.07948752578018023,0.7324810313394302,0.41425276961187285
Sequence_05,full_finetune,0.1417637773190786,0.12439030265532934,0.6647293560562421,0.37137815576983
