sequence,baseline_variant,final_variant,baseline_psnr,final_psnr,psnr_gain,baseline_ssim,final_ssim,ssim_gain
Sequence_01,enhanced_long,enhanced_long_finetune,23.43445128629142,26.36145235534408,2.927001069052661,0.768617238112312,0.8359903466892752,0.06737310857696321
Sequence_02,partition_mid,partition_mid_finetune,26.540669628304297,30.14937202933866,3.608702401034364,0.8310852902276176,0.8844809082089639,0.05339561798134629
Sequence_03,full,partition_best_finetune,20.373024137828576,26.326794332473472,5.953770194644896,0.659116554349216,0.8127632508675258,0.15364669651830976
Sequence_04,optimized,partition_best_finetune,20.07122118279073,28.355955619961513,8.284734437170783,0.6026739558559254,0.8112708702683449,0.20859691441241945
Sequence_05,full,full_finetune,22.59848080182867,26.385159072770165,3.7866782709414935,0.7349256783441345,0.8117649401251174,0.07683926178098288
