sequence,variant,mean_error_m,median_error_m,rmse_m,p90_error_m,ratio_below_20cm,ratio_below_10cm,completion_ratio_below_20cm
Sequence_01,enhanced_long_finetune,0.27692169053653176,0.1952744083044617,0.36891318767640674,0.6745382237525747,0.5103802494712762,0.253672291999367,0.20140555555555556
Sequence_02,partition_mid_finetune,0.7396178726018898,0.25624817696357666,1.481615089602368,2.37938177620126,0.4329568491167101,0.2351578337677382,0.08855555555555555
Sequence_03,partition_best_finetune,0.28015858711686464,0.20355020610488128,0.35862495725302695,0.6193269297917123,0.49377657518361034,0.26670274449168924,0.3048388888888889
Sequence_04,partition_best_finetune,0.24571661635233213,0.15471722647699204,0.3593885386139109,0.57633871481275,0.602135680871642,0.3273592167854253,0.1559611111111111
Sequence_05,full_finetune,0.25105527572447406,0.188459401798926,0.3315449680303813,0.5471195913963367,0.5225375,0.2855375,0.5638388888888889
