sequence,variant,image_count,gaussian_count,mean_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,median_ssim,psnr_over_20,psnr_over_25,psnr_over_28
Sequence_01,enhanced_long_finetune,187,69507,26.36145235534408,26.68907997047713,15.079632196733197,31.90757141255835,0.8359903466892752,0.8544633984565735,179,143,51
Sequence_02,partition_mid_finetune,49,20718,30.14937202933866,29.86005919870277,25.038992819007934,34.937448795956456,0.8844809082089639,0.8856260180473328,49,49,45
Sequence_03,partition_best_finetune,120,64675,26.326794332473472,26.319871964456667,21.38226148779593,31.880921700116485,0.8127632508675258,0.8304616510868073,120,93,24
Sequence_04,partition_best_finetune,80,50663,28.355955619961513,28.891594620552986,17.159041502257647,34.890175134204284,0.8112708702683449,0.8298042714595795,79,69,50
Sequence_05,full_finetune,422,145975,26.385159072770165,26.58812591685431,17.411465051702397,30.800878665071284,0.8117649401251174,0.8279296159744263,420,325,98
