index,psnr,ssim
0.0,17.625144717059744,0.584382951259613
1.0,20.93765238829073,0.7889758944511414
2.0,30.127518464113983,0.8321385979652405
3.0,29.698314795866075,0.8436200618743896
4.0,30.663647081166424,0.8534035682678223
5.0,28.99483525183683,0.854815661907196
6.0,30.83978406504745,0.8680071830749512
7.0,29.183509599999667,0.8420596122741699
8.0,22.76905307129148,0.6949101090431213
9.0,24.202699381839096,0.7439999580383301
10.0,24.07963332432725,0.737791121006012
11.0,26.048108683020263,0.7817544341087341
12.0,27.433712269236892,0.8143008351325989
13.0,26.933216681644943,0.8100311160087585
14.0,21.327969921219623,0.6190885901451111
15.0,22.008657456794406,0.6745831370353699
16.0,22.582815210868993,0.6641752123832703
17.0,22.19628574231985,0.6310088038444519
18.0,22.156537131213586,0.6160901188850403
19.0,22.358720094797306,0.6329691410064697
20.0,32.257597567973384,0.8758543133735657
21.0,32.29238481213889,0.8842670917510986
22.0,29.14391912234917,0.8278161883354187
23.0,31.298109171654854,0.8555575013160706
24.0,32.17301119670553,0.878227710723877
25.0,33.04783791829482,0.8949238657951355
26.0,33.44732132889774,0.8979330658912659
27.0,34.48789150742839,0.9124794602394104
28.0,30.155949025799483,0.809268057346344
29.0,27.75818194714164,0.7679603099822998
30.0,29.068814412889324,0.8058355450630188
31.0,34.8006587681755,0.9159596562385559
32.0,30.86523563589989,0.8794596791267395
33.0,29.726930410571235,0.8758649826049805
34.0,28.8113199879523,0.8831098675727844
35.0,26.360956430767896,0.8224005699157715
36.0,26.333605524057127,0.7655537724494934
37.0,26.928529616705262,0.7613031268119812
38.0,26.876020796579333,0.7446282505989075
39.0,25.871666123512334,0.7283329963684082
40.0,25.286107764493284,0.7407814860343933
41.0,27.82623929736944,0.8528140187263489
42.0,28.197561588942737,0.8620338439941406
43.0,28.058937953697168,0.8053300976753235
44.0,28.822372647130408,0.816093921661377
45.0,28.547997079181307,0.747945249080658
46.0,27.45652387498017,0.6883372664451599
47.0,26.826829458001818,0.7219789028167725
48.0,27.892119678181896,0.8202471137046814
49.0,28.6247019495819,0.8699848651885986
50.0,29.42823168402157,0.878175675868988
51.0,29.63108114304141,0.8739809393882751
52.0,28.899993087707863,0.8814311027526855
53.0,28.23353083760242,0.8637874126434326
54.0,28.407403826358678,0.8426351547241211
55.0,28.126666905538052,0.8298878073692322
56.0,27.52238737819459,0.8049711585044861
57.0,27.63423537963496,0.8071860671043396
58.0,27.4215066616119,0.8057325482368469
59.0,27.18240971874096,0.7811467051506042
60.0,26.992298311531627,0.7751286625862122
61.0,26.621576795446018,0.7853891849517822
62.0,26.21966562650193,0.7888019680976868
63.0,26.130731221507773,0.8027049899101257
64.0,26.201584778570208,0.8118333220481873
65.0,26.74493932271281,0.8229732513427734
66.0,27.779149632445282,0.8428766131401062
67.0,27.486861336906898,0.8306549191474915
68.0,27.349863796182156,0.8203890323638916
69.0,26.777446090144863,0.7807887196540833
70.0,27.62282179223435,0.7882054448127747
71.0,26.47718956329355,0.7481977939605713
72.0,26.01138145325601,0.7299297451972961
73.0,27.911083023957936,0.7896931171417236
74.0,27.610045763525825,0.7883102297782898
75.0,28.66732335296286,0.8595730662345886
76.0,26.477356259474742,0.8253771662712097
77.0,25.91300127622611,0.8378109931945801
78.0,25.584906293758642,0.8336071372032166
79.0,24.889326798026715,0.8243956565856934
