index,name,psnr,ssim
0,00000.png,26.476013436237057,0.7435386180877686
1,00001.png,25.840144827041218,0.8256675601005554
2,00002.png,32.2029141465239,0.8606888651847839
3,00003.png,31.153342046649133,0.8717143535614014
4,00004.png,30.186674417227092,0.8638865351676941
5,00005.png,29.08404494287948,0.868420422077179
6,00006.png,31.366142753911056,0.8764958381652832
7,00007.png,29.147211953151224,0.8520235419273376
8,00008.png,22.97514959497319,0.7159760594367981
9,00009.png,24.5466944024656,0.7764803767204285
10,00010.png,25.01819023218168,0.7904114723205566
11,00011.png,26.843702791713625,0.8245081305503845
12,00012.png,28.02673475603868,0.8410129547119141
13,00013.png,27.420831562305686,0.8306834101676941
14,00014.png,21.264529076686934,0.6265853047370911
15,00015.png,21.478844525957115,0.6687178015708923
16,00016.png,22.15294464425112,0.6497068405151367
17,00017.png,22.097470277249553,0.6373822093009949
18,00018.png,22.451326501437645,0.642431914806366
19,00019.png,22.71214880377377,0.6607627272605896
20,00020.png,31.088690210581508,0.8532572388648987
21,00021.png,30.95542296484289,0.861360490322113
22,00022.png,29.11662461650966,0.8105098605155945
23,00023.png,31.43046394772613,0.852207362651825
24,00024.png,33.23072227140268,0.8848381042480469
25,00025.png,33.4008060364082,0.9002363681793213
26,00026.png,33.173159362530356,0.8967506885528564
27,00027.png,33.728470144356464,0.903588593006134
28,00028.png,29.67980874242847,0.804771900177002
29,00029.png,27.591055854801102,0.7623412013053894
30,00030.png,28.679828543210082,0.7904040813446045
31,00031.png,33.69890342406423,0.9065637588500977
32,00032.png,29.092891066222077,0.8493488430976868
33,00033.png,28.95752622993523,0.8577874302864075
34,00034.png,31.108301486370642,0.8911051154136658
35,00035.png,28.285941025225018,0.8419551849365234
36,00036.png,27.00853677392191,0.793297529220581
37,00037.png,26.957994815244067,0.7726197838783264
38,00038.png,26.503216687294714,0.7386035323143005
39,00039.png,25.38481080984379,0.714078962802887
40,00040.png,24.7817858675046,0.7270156741142273
41,00041.png,27.187468003633178,0.8491425514221191
42,00042.png,27.340525828491295,0.8632724285125732
43,00043.png,28.26261113536241,0.8217701315879822
44,00044.png,29.003913732615118,0.8292728066444397
45,00045.png,28.83401820737463,0.7559225559234619
46,00046.png,27.93226717230503,0.6937773823738098
47,00047.png,26.71073016660438,0.7286510467529297
48,00048.png,28.958714299039183,0.8361402153968811
49,00049.png,28.536852422907664,0.8785107135772705
50,00050.png,29.932374627543968,0.8882643580436707
51,00051.png,29.382763647611295,0.8777745366096497
52,00052.png,27.99033186128314,0.8792779445648193
53,00053.png,27.663580236875053,0.865980327129364
54,00054.png,28.06039849959157,0.8471603989601135
55,00055.png,27.84896769541294,0.8362619876861572
56,00056.png,27.514028049575444,0.8139287829399109
57,00057.png,27.668503534096548,0.8172852993011475
58,00058.png,27.69084757280336,0.8175978660583496
59,00059.png,27.374411843215114,0.7902853488922119
60,00060.png,27.111812834914883,0.7837012410163879
61,00061.png,26.94896334762939,0.7922673225402832
62,00062.png,26.6222401466232,0.7955756187438965
63,00063.png,26.79122786001638,0.8095114827156067
64,00064.png,26.814784273115055,0.8216432929039001
65,00065.png,27.011167886532874,0.83128422498703
66,00066.png,27.369049821881795,0.8413611054420471
67,00067.png,27.781139292745838,0.8413359522819519
68,00068.png,27.49651795995643,0.8244791030883789
69,00069.png,26.867132961511984,0.7881551384925842
70,00070.png,28.42475931561198,0.8091554045677185
71,00071.png,25.903455672147302,0.7670865654945374
72,00072.png,26.74234855520353,0.7793789505958557
73,00073.png,27.843402361411407,0.8021266460418701
74,00074.png,27.509953150168958,0.7989814877510071
75,00075.png,28.19822867129403,0.8583579659461975
76,00076.png,26.84616349013576,0.8365381360054016
77,00077.png,26.70561589362707,0.8614208102226257
78,00078.png,26.45764605414307,0.8613188862800598
79,00079.png,25.72062404608517,0.8513320088386536
