iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.11098860204219818,0.1329088807106018,0.02330746129155159,0.0,0.0,16.325050283719268,39463
500,8,0.04230203106999397,0.051091019064188004,0.007146080955862999,0.0,0.0,21.459320681104295,39463
1000,37,0.026096908375620842,0.0319458432495594,0.002701172837987542,0.0,0.0,25.684476260373867,41063
1500,77,0.030048221349716187,0.0362253375351429,0.005339757073670626,0.0,0.0,22.724785002681024,42663
2000,1,0.04655524715781212,0.055823780596256256,0.00948110967874527,0.0,0.0,20.231408294180497,42663
2500,16,0.03929528966546059,0.047424398362636566,0.00677885115146637,0.0,0.0,21.688439021292815,44263
3000,27,0.020559141412377357,0.025362078100442886,0.0013473924482241273,0.0,0.0,28.70505891081441,45863
3500,56,0.023596838116645813,0.028849201276898384,0.002587378490716219,0.0,0.0,25.871400365304062,47463
4000,65,0.04163491725921631,0.05059320852160454,0.005801751744002104,0.0,0.0,22.364408585248526,47463
4500,62,0.0316862128674984,0.038604915142059326,0.004011401906609535,0.0,0.0,23.967038234138897,49063
5000,79,0.036638978868722916,0.044038575142621994,0.0070405867882072926,0.0,0.0,21.52391143661783,50663
5500,9,0.03090379200875759,0.037395741790533066,0.00493599520996213,0.0,0.0,23.066252704270077,50663
6000,36,0.022759264335036278,0.027766535058617592,0.0027301793452352285,0.0,0.0,25.63808823256786,50663
6500,4,0.030581479892134666,0.037478040903806686,0.002995232818648219,0.0,0.0,25.235694143683574,50663
7000,47,0.026363015174865723,0.032188527286052704,0.003060964634642005,0.0,0.0,25.14141688066355,50663
7500,34,0.021192146465182304,0.02599966898560524,0.001962050097063184,0.0,0.0,27.072899079650718,50663
8000,42,0.02393348701298237,0.02926282398402691,0.0026161442510783672,0.0,0.0,25.82338313207037,50663
8500,32,0.01893860474228859,0.023286649957299232,0.0015464226016774774,0.0,0.0,28.106718115195456,50663
9000,32,0.022693347185850143,0.027898183092474937,0.0018739948282018304,0.0,0.0,27.272316120002714,50663
9500,8,0.03812544792890549,0.0460636280477047,0.006372714415192604,0.0,0.0,21.956755434195536,50663
10000,34,0.023693084716796875,0.02902914769947529,0.002348830457776785,0.0,0.0,26.291483301399495,50663
10500,44,0.0205842237919569,0.02523927576839924,0.001964007271453738,0.0,0.0,27.06856908633393,50663
11000,55,0.018504055216908455,0.022586004808545113,0.0021762617398053408,0.0,0.0,26.622888730744165,50663
11500,57,0.0211151372641325,0.025764215737581253,0.002518821507692337,0.0,0.0,25.988026070039982,50663
12000,14,0.04714551940560341,0.056509919464588165,0.009687915444374084,0.0,0.0,20.137696603482826,50663
12500,11,0.02776024304330349,0.03377409651875496,0.0037048296071588993,0.0,0.0,24.312317613344078,50663
13000,30,0.022518033161759377,0.027652261778712273,0.001981122884899378,0.0,0.0,27.030885852496837,50663
13500,48,0.020652547478675842,0.02529921382665634,0.002065880224108696,0.0,0.0,26.848948616724403,50663
14000,77,0.03280717879533768,0.03941921517252922,0.006359036546200514,0.0,0.0,21.966086790629966,50663
