iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.018000714480876923,0.017598791047930717,0.0014429776929318905,0.8292058706283569,0.072400763630867,28.407403826358678,58663
500,76,0.023111753165721893,0.02294214628636837,0.0023896347265690565,0.8068519234657288,0.13904885947704315,26.216684791184694,58663
1000,59,0.03349585086107254,0.033835798501968384,0.004342672880738974,0.7376528382301331,0.10391037166118622,23.62242883380239,58663
1500,28,0.026718314737081528,0.02648136205971241,0.002495930530130863,0.7676180005073547,0.12879902124404907,26.027675066501466,58663
2000,62,0.04643860459327698,0.04762588068842888,0.00852432381361723,0.6857671737670898,0.11612613499164581,20.693400610934493,58663
2500,5,0.032872170209884644,0.03379921615123749,0.0034091153647750616,0.7587962746620178,0.10896658897399902,24.67358301957535,58663
3000,48,0.03873574361205101,0.03951925411820412,0.005172984208911657,0.7133616209030151,0.1176590695977211,22.862588473193142,58663
