index,name,psnr,ssim
0,00000.png,6.782950137916959,0.2023092359304428
1,00001.png,13.41669777109229,0.648144543170929
2,00002.png,14.634363222486805,0.6722545623779297
3,00003.png,14.053490957972784,0.641456663608551
4,00004.png,14.342665369538858,0.6703454852104187
5,00005.png,15.589932753627785,0.733247697353363
6,00006.png,17.39854862752981,0.7655269503593445
7,00007.png,17.02472761748265,0.7133426666259766
8,00008.png,18.919700928539708,0.5695567727088928
9,00009.png,19.585987866755815,0.6113197803497314
10,00010.png,18.938451830722233,0.6245751976966858
11,00011.png,18.74171556074853,0.664039671421051
12,00012.png,18.27498397220188,0.7010412812232971
13,00013.png,18.17418797082781,0.6903806328773499
14,00014.png,15.407510172859629,0.4798131287097931
15,00015.png,15.245122617214344,0.5148562788963318
16,00016.png,16.673239135224566,0.5278171896934509
17,00017.png,15.950359229170141,0.48491814732551575
18,00018.png,15.818733411348159,0.47660279273986816
19,00019.png,15.652891034288768,0.4828139543533325
20,00020.png,17.20892881376192,0.6953849792480469
21,00021.png,17.2430004453229,0.7349185347557068
22,00022.png,16.263203070218374,0.7218202948570251
23,00023.png,17.579560443383823,0.7593734860420227
24,00024.png,18.419769237999024,0.7802178263664246
25,00025.png,15.243152647380478,0.7543057799339294
26,00026.png,14.42489479970458,0.7397239804267883
27,00027.png,17.37905018776472,0.7746407985687256
28,00028.png,17.013653160986138,0.6654948592185974
29,00029.png,15.866278943107147,0.6037516593933105
30,00030.png,16.671361202875453,0.6508336663246155
31,00031.png,17.96383649366572,0.7740424275398254
32,00032.png,12.472325596722577,0.6799767017364502
33,00033.png,12.086724846255908,0.6903660297393799
34,00034.png,16.0357942804846,0.7589942812919617
35,00035.png,17.014685501536817,0.7193775773048401
36,00036.png,17.66309308463598,0.6585527062416077
37,00037.png,17.929594663441318,0.6425398588180542
38,00038.png,19.353255751164276,0.6110999584197998
39,00039.png,17.112828311213477,0.5826916694641113
40,00040.png,15.60753564428526,0.6093693375587463
41,00041.png,17.398226897366516,0.7898971438407898
42,00042.png,17.054690213026106,0.7847884297370911
43,00043.png,17.230232744252806,0.7127073407173157
44,00044.png,17.387334586069542,0.7186229228973389
45,00045.png,17.18727254341983,0.649703860282898
46,00046.png,17.176461969199753,0.590790331363678
47,00047.png,15.312686719522773,0.5763913989067078
48,00048.png,14.273425399327914,0.6605049967765808
49,00049.png,14.556520595321128,0.7422382235527039
50,00050.png,15.95952336780721,0.7735236287117004
51,00051.png,17.39684159693095,0.7939900755882263
52,00052.png,20.02494640536851,0.8302359580993652
53,00053.png,19.290015407804397,0.8027312755584717
54,00054.png,18.604312390277688,0.7744229435920715
55,00055.png,18.10274520899612,0.7599020004272461
56,00056.png,17.820694117517604,0.7317505478858948
57,00057.png,17.35099874655431,0.7298893928527832
58,00058.png,16.467125339248657,0.719078540802002
59,00059.png,15.496676170236618,0.6873072981834412
60,00060.png,14.302774682776349,0.6687011122703552
61,00061.png,14.23554753199463,0.6687324643135071
62,00062.png,14.375788834812568,0.6703922152519226
63,00063.png,14.449251948453156,0.6813599467277527
64,00064.png,14.575420836888686,0.6965823173522949
65,00065.png,14.652383185469642,0.7020476460456848
66,00066.png,14.049311629834694,0.6764411926269531
67,00067.png,14.54727155474744,0.6452260613441467
68,00068.png,14.988490827092747,0.6282849311828613
69,00069.png,14.621647373770744,0.6289592385292053
70,00070.png,15.369865433791148,0.6436026692390442
71,00071.png,14.125445060861473,0.534895658493042
72,00072.png,15.258704793449294,0.5737184882164001
73,00073.png,16.782154816671063,0.6139149069786072
74,00074.png,16.628758731766847,0.6184101700782776
75,00075.png,12.1680536999071,0.6241536140441895
76,00076.png,11.633752498714324,0.5729711055755615
77,00077.png,12.050297394425623,0.606703519821167
78,00078.png,12.02585071725347,0.6009534001350403
79,00079.png,11.549584024602503,0.5834028720855713
