measurement,reconstruction_m,ground_truth_m,absolute_error_m
x_width_5_95,2.6883510613119452,5.332660131379262,2.6443090700673166
y_depth_5_95,1.818841597987239,6.211615481658146,4.392773883670907
z_height_5_95,2.4989826844353087,2.352314635595638,0.14666804883967055
xy_planar_diagonal,3.245830585139316,8.186661771978677,4.940831186839361
xyz_spatial_diagonal,4.096380187987113,8.517911429077817,4.421531241090704
