measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,1,4,4152,0.25288520221359917,0.21393363160552004,0.5353430930596766,0.4828998073217726,0.3607899807321773
local_accuracy_2,2,3,3636,0.33194327933469836,0.3356484843724904,0.6629456624282077,0.39383938393839385,0.27887788778877887
local_accuracy_3,4,2,2613,0.24848593562496182,0.16296980071495318,0.6629848179468996,0.59433601224646,0.2736318407960199
local_accuracy_4,5,1,2396,0.20281979125565217,0.13065645318904254,0.6625397514307256,0.7666944908180301,0.3330550918196995
local_accuracy_5,3,4,1596,0.20628061924218496,0.11849182101053518,0.6031247576162732,0.6961152882205514,0.38721804511278196
