index,psnr,ssim
0.0,15.131103053062457,0.5429050326347351
1.0,14.189962556425158,0.5232227444648743
2.0,13.583146190760903,0.5095925331115723
3.0,13.28109776227695,0.4553419351577759
4.0,13.376600610734865,0.4546094834804535
5.0,13.090467997579596,0.4670093059539795
6.0,12.453331883040102,0.4850933253765106
7.0,12.56164395909635,0.46099233627319336
8.0,14.069956611647497,0.38297906517982483
9.0,14.002807033572351,0.43619871139526367
10.0,14.730103203773295,0.4898061454296112
11.0,13.621555938218622,0.5274391770362854
12.0,13.135891983009076,0.565329909324646
13.0,13.928405676013401,0.5782586336135864
14.0,14.008246997615991,0.40566983819007874
15.0,13.591143727797427,0.4031343162059784
16.0,14.327097826384712,0.38383516669273376
17.0,13.758982401981894,0.34862756729125977
18.0,13.89925465613481,0.3530619442462921
19.0,13.168778472309748,0.3491230905056
20.0,14.014694333372503,0.4922148287296295
21.0,12.063664983350002,0.4637901782989502
22.0,14.184719415249427,0.49201616644859314
23.0,13.645022355602539,0.561504602432251
24.0,13.306752828741214,0.5572819709777832
25.0,13.067293909738655,0.535737931728363
26.0,12.885824913897373,0.496542364358902
27.0,12.553488948421812,0.4934462606906891
28.0,14.210128853349609,0.47584423422813416
29.0,14.841438130084954,0.4461427628993988
30.0,13.077206909200603,0.4452120363712311
31.0,14.165624110550613,0.48097920417785645
32.0,12.928643371921805,0.446676105260849
33.0,13.756884951338453,0.5355905890464783
34.0,14.544485891574412,0.6221432089805603
35.0,13.35345420177295,0.5719153881072998
36.0,15.082645367238982,0.5071436762809753
37.0,14.57615350160812,0.47173693776130676
38.0,14.302669236318717,0.4072447121143341
39.0,14.510105925994443,0.40868687629699707
40.0,14.653629190630769,0.5105002522468567
41.0,15.945283981269302,0.668684184551239
42.0,16.37630482518066,0.6654596924781799
43.0,17.990581283157685,0.6422181725502014
44.0,18.377289771271368,0.6581173539161682
45.0,17.906788126605832,0.5931491851806641
46.0,16.269279024677537,0.507462739944458
47.0,14.079433513021913,0.45441699028015137
48.0,14.074229034567814,0.5384905934333801
49.0,14.082135417192427,0.5909215807914734
50.0,15.092347000244313,0.6272479891777039
51.0,15.602898316360264,0.656005322933197
52.0,14.665165322638893,0.6739976406097412
53.0,14.935376158945505,0.6723723411560059
54.0,15.445829884511394,0.6596699357032776
55.0,15.633223361920447,0.6487706899642944
56.0,15.102636076673882,0.6181076169013977
57.0,14.813986080849,0.6193456649780273
58.0,13.95406874339039,0.610686719417572
59.0,13.148316542158177,0.5750906467437744
60.0,12.378621228000089,0.5513172149658203
61.0,12.43907523752734,0.5621093511581421
62.0,12.109370554332253,0.5514221787452698
63.0,11.512563789488475,0.5442730784416199
64.0,9.569202152250373,0.4940062463283539
65.0,9.052461698692888,0.4718635082244873
66.0,8.990673569704091,0.42919763922691345
67.0,9.537156355321013,0.408345490694046
68.0,11.966282890113602,0.45674100518226624
69.0,13.987811556723148,0.47378459572792053
70.0,14.077080756444433,0.4720940589904785
71.0,14.319828345225531,0.40211471915245056
72.0,12.542909578913989,0.39042994379997253
73.0,13.05138568715152,0.3627833425998688
74.0,12.968945257364267,0.3629694879055023
75.0,12.674173084367954,0.4574655294418335
76.0,12.129644302931087,0.4217611253261566
77.0,11.76217351731693,0.42813095450401306
78.0,11.752388073365857,0.4211845397949219
79.0,11.470623456063919,0.4220849573612213
