measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,0,1,1683,0.3777691526236394,0.4068545077486807,0.6425382456895183,0.2608437314319667,0.1325014854426619
local_accuracy_2,3,3,1678,0.16802082119051734,0.11325855730614103,0.41583866360621596,0.7580452920143027,0.43802145411203813
local_accuracy_3,1,0,1186,0.14354587484713238,0.09062928262148018,0.351703936120281,0.739460370994941,0.5379426644182125
local_accuracy_4,2,2,820,0.25660983051063263,0.15487057920112893,0.5886700490835916,0.6,0.2841463414634146
local_accuracy_5,3,1,502,0.3745367742647979,0.2666866778964865,0.822996494886385,0.40836653386454186,0.22709163346613545
