measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,5,4,3242,0.3511474785797303,0.30951783607158134,0.7166586228198275,0.270512029611351,0.09839605181986429
local_accuracy_2,1,0,3110,0.23217622826650147,0.20015632901079966,0.4862486878644335,0.4996784565916399,0.19839228295819936
local_accuracy_3,2,1,2764,0.11471259875297668,0.10493687335854629,0.1896201122971008,0.9316208393632417,0.4681620839363242
local_accuracy_4,0,1,1957,0.28202476593157716,0.24952903725116574,0.5363364044878562,0.38528359734287176,0.16760347470618292
local_accuracy_5,1,4,1955,0.5830873188756676,0.5991670766924119,0.9806540090265156,0.10588235294117647,0.01432225063938619
