measurement,reconstruction_m,ground_truth_m,absolute_error_m
x_width_5_95,3.1278821937528427,6.538310634386507,3.4104284406336642
y_depth_5_95,2.234517917928182,5.835263047917392,3.60074512998921
z_height_5_95,3.2407130224212946,3.2235843073986543,0.01712871502264024
xy_planar_diagonal,3.8440496021173027,8.763549554268627,4.919499952151324
xyz_spatial_diagonal,5.027816448243627,9.33762799521531,4.309811546971684
