index,psnr,ssim
0.0,22.364612854564072,0.6187626719474792
1.0,22.349230678065283,0.6025872826576233
2.0,22.6703054299292,0.6249184012413025
3.0,23.628840533595813,0.6978047490119934
4.0,23.85311234768567,0.7248242497444153
5.0,23.586214477027262,0.7283208966255188
6.0,24.213469714134845,0.7641614079475403
7.0,24.871584137012807,0.7653155326843262
8.0,24.99783324773228,0.7557108998298645
9.0,23.67221554809379,0.7365975379943848
10.0,19.603189020358897,0.6465084552764893
11.0,19.40873278942117,0.5843477845191956
12.0,20.989556482485373,0.7258418202400208
13.0,22.04222755637992,0.7729620337486267
14.0,23.23272174900727,0.7507672905921936
15.0,23.070139341303513,0.6790748238563538
16.0,21.029342744428998,0.5641458630561829
17.0,23.8873792780908,0.6934310793876648
18.0,22.586283080302504,0.6794312596321106
19.0,23.14260375179,0.6892556548118591
20.0,21.898611072779758,0.7128672003746033
21.0,23.65137132334358,0.7044438719749451
22.0,23.491496753691766,0.7263199687004089
23.0,24.026837723652342,0.804602324962616
24.0,23.14301115997965,0.7889774441719055
25.0,24.208533948946016,0.8165252208709717
26.0,24.3335627483467,0.829658031463623
27.0,24.14917694278206,0.846238911151886
28.0,25.21185303086101,0.866575300693512
29.0,24.653293860586047,0.8566573262214661
30.0,24.040477883901197,0.8549301028251648
31.0,26.523235178754586,0.8905749320983887
32.0,26.57405134923927,0.8743992447853088
33.0,24.059476107581265,0.8006125092506409
34.0,23.412906166759072,0.7790336608886719
35.0,21.865117678483678,0.7309640049934387
36.0,24.922107919592918,0.8262982368469238
37.0,25.232353255012065,0.8229473233222961
38.0,26.40607853315118,0.8239803910255432
39.0,27.02093572842328,0.8714001178741455
40.0,25.048970425355108,0.864721953868866
41.0,19.212552896281764,0.6995868682861328
42.0,22.71195961402851,0.8276721835136414
43.0,24.681000395728088,0.7860779762268066
44.0,21.915278951126158,0.7129497528076172
45.0,21.28515532985416,0.6578317284584045
46.0,21.83766353924166,0.6106358766555786
47.0,21.904554149232496,0.6083242297172546
48.0,21.61432931928256,0.5882019400596619
49.0,21.052158474187394,0.5830286145210266
50.0,20.392951481929288,0.6144984364509583
51.0,20.64356049305561,0.6522617936134338
52.0,24.96256476008183,0.8590791821479797
53.0,23.033340116998904,0.7609200477600098
54.0,24.536047247667394,0.8281638026237488
55.0,24.57188215744509,0.8027596473693848
56.0,22.760429124287228,0.7136327624320984
57.0,23.748879601508666,0.7474516034126282
58.0,26.60427121434735,0.8711099624633789
59.0,25.647584097227266,0.8991181254386902
60.0,25.707526599779396,0.903124988079071
61.0,24.160430019286977,0.8620653748512268
62.0,22.339156826347978,0.7837861180305481
63.0,20.717268729052233,0.6722936630249023
64.0,21.125828517999025,0.6134479641914368
65.0,21.45707537321289,0.6078236699104309
66.0,22.32271630228498,0.6615688800811768
67.0,23.086636981032477,0.7106409668922424
68.0,22.885330811906123,0.74017733335495
69.0,22.847464238889987,0.7879810333251953
70.0,24.691405336351128,0.7453557848930359
71.0,23.675057439088167,0.6908637881278992
72.0,22.26742950254121,0.6027585864067078
73.0,21.39000715879402,0.608340322971344
74.0,21.073231578499538,0.5809931755065918
75.0,20.423496079352482,0.5442039370536804
76.0,20.85847067135546,0.5566418766975403
77.0,20.43198308830722,0.526500403881073
78.0,20.42985609664559,0.5377804040908813
79.0,21.15595875023733,0.5925073623657227
80.0,22.260305910556166,0.6444787383079529
81.0,23.4056271141688,0.729688823223114
82.0,24.199643949948353,0.8060521483421326
83.0,23.806226124351596,0.799424409866333
84.0,23.502223596260542,0.8129923939704895
85.0,23.543686710797537,0.795306384563446
86.0,23.494881149613313,0.779090404510498
87.0,22.718855445277192,0.745550811290741
88.0,23.358825062119415,0.771625816822052
89.0,24.3624405997447,0.7943906784057617
90.0,24.894297436886255,0.8098317980766296
91.0,24.689949798840832,0.8210334181785583
92.0,24.633138423782324,0.8263009190559387
93.0,24.384140514990897,0.823624312877655
94.0,23.65475412581639,0.8223593831062317
95.0,23.497580340202475,0.8164770603179932
96.0,22.712113306466915,0.7934980988502502
97.0,21.338528940648867,0.7572214603424072
98.0,21.11942507258775,0.7160944938659668
99.0,24.74372408597525,0.7773025035858154
100.0,22.99211889043508,0.7720615267753601
101.0,20.556982755130736,0.6585894823074341
102.0,20.181561761744984,0.6224831938743591
103.0,20.525919146994177,0.6050344109535217
104.0,20.662704688224785,0.6004185080528259
105.0,21.33974676133753,0.627028226852417
106.0,22.093952829636876,0.704642117023468
107.0,22.18646072436371,0.7054557800292969
108.0,23.09281350939662,0.7133447527885437
109.0,23.201742414297474,0.7429401278495789
110.0,23.706405987112383,0.7610099911689758
111.0,20.767035911755066,0.6206807494163513
112.0,19.695772839088168,0.6215538382530212
113.0,20.397250705921984,0.572409451007843
114.0,20.25997961699758,0.6306918859481812
115.0,19.248326808787898,0.6042630672454834
116.0,18.999577754874753,0.5332956910133362
117.0,18.78761811310174,0.5205792784690857
118.0,19.56066138264106,0.46740129590034485
119.0,19.19517235994635,0.4425675570964813
