measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,0,1,7553,0.22146902488376627,0.15800281465767202,0.5153839488896261,0.5634847080630213,0.3696544419435986
local_accuracy_2,0,3,5842,0.14177292061626492,0.12439030265532934,0.27893148925300004,0.7569325573433756,0.40842177336528585
local_accuracy_3,5,3,5706,0.17237776826768894,0.133321655008644,0.3808193565228212,0.677006659656502,0.38310550297932
local_accuracy_4,4,2,4139,0.14357836098691917,0.12448494826879532,0.25836300564362114,0.7521140372070548,0.40517033099782557
local_accuracy_5,1,4,3731,0.2099778020897051,0.16861916600495225,0.44057004070599454,0.574108818011257,0.2905387295631198
