measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,0,1,1726,0.3509524413473833,0.3754824262610076,0.6309489813857729,0.287369640787949,0.160486674391657
local_accuracy_2,3,3,1691,0.15906071232448826,0.1059671624123537,0.4041275116701645,0.7806031933767001,0.47072738024837374
local_accuracy_3,1,0,1220,0.14031077585443252,0.08683828876145687,0.34141042832041174,0.7508196721311475,0.5549180327868852
local_accuracy_4,2,2,793,0.2600194947206421,0.1575943195883124,0.5959210585472867,0.5964691046658259,0.27742749054224464
local_accuracy_5,3,1,509,0.3688221426952049,0.2553178629716979,0.8248306702434262,0.4204322200392927,0.22789783889980353
