index,psnr,ssim
0.0,8.35767510434344,0.3129856288433075
1.0,13.84207272201277,0.4916423261165619
2.0,12.770965179889943,0.45513680577278137
3.0,12.554189796670585,0.3947230577468872
4.0,12.61151041247096,0.4053526222705841
5.0,12.742752923071222,0.41045260429382324
6.0,11.806634982475302,0.4123067557811737
7.0,11.462010920252103,0.3822416365146637
8.0,13.067236536547863,0.3339146673679352
9.0,13.636616329884323,0.4010392725467682
10.0,13.553271796327893,0.44580698013305664
11.0,13.363792569762358,0.48780491948127747
12.0,13.34504894481196,0.5407580137252808
13.0,14.101916731274034,0.5572040677070618
14.0,13.65199394006978,0.35630714893341064
15.0,12.556632580362624,0.34566202759742737
16.0,13.208187398549223,0.34424641728401184
17.0,13.87067785833045,0.32634347677230835
18.0,13.856649574938192,0.3123563826084137
19.0,13.285369645946524,0.3051437437534332
20.0,13.47607965844645,0.4419546127319336
21.0,12.458452512078434,0.42537733912467957
22.0,13.947028978406271,0.43923434615135193
23.0,13.319873699796961,0.43873462080955505
24.0,13.026351964080689,0.4387291967868805
25.0,12.657310337543144,0.4232032597064972
26.0,12.491915308295575,0.4146832525730133
27.0,12.00198363478786,0.4289968013763428
28.0,13.882293510356556,0.4176163673400879
29.0,13.936180511099423,0.39318692684173584
30.0,14.479090174234644,0.4273083209991455
31.0,13.782008992185165,0.4285706579685211
32.0,11.618212366270066,0.37120500206947327
33.0,11.907789645161394,0.4471661150455475
34.0,13.045077101837187,0.5157285332679749
35.0,11.614304566240108,0.4602719247341156
36.0,13.224052054799307,0.40093472599983215
37.0,13.748264032636065,0.37985122203826904
38.0,13.729069908284126,0.35680198669433594
39.0,13.660761679283874,0.36966070532798767
40.0,14.285402753357292,0.45333096385002136
41.0,12.333532235466784,0.5435967445373535
42.0,13.48292574667488,0.564800500869751
43.0,14.024282172038356,0.5163057446479797
44.0,14.158475583408986,0.5268173813819885
45.0,14.194357718321537,0.47943389415740967
46.0,13.623415743986094,0.4273330867290497
47.0,12.505020443091139,0.37469610571861267
48.0,12.584472490125037,0.4645164906978607
49.0,13.04361673079892,0.5179019570350647
50.0,13.426846772967414,0.5566496849060059
51.0,13.337549175553178,0.5837526917457581
52.0,11.424102218547763,0.5618043541908264
53.0,11.488872700439092,0.5492103099822998
54.0,10.81342150637999,0.5231063961982727
55.0,10.976154621837985,0.5240681767463684
56.0,11.183506157796437,0.513960599899292
57.0,11.586808301234722,0.5280340313911438
58.0,12.037992704114416,0.5309832692146301
59.0,11.923210573759778,0.5008460879325867
60.0,11.93084849680555,0.49380549788475037
61.0,11.920350189843393,0.5022032856941223
62.0,11.880793749690785,0.5030494332313538
63.0,11.696793158562953,0.49989208579063416
64.0,10.430516326283412,0.45786985754966736
65.0,10.317334377214971,0.4564153254032135
66.0,10.740111083136766,0.4477117955684662
67.0,11.495263074886338,0.4192908704280853
68.0,12.541018447019725,0.4107229709625244
69.0,13.955467527925302,0.4551874101161957
70.0,13.9053456510464,0.44524767994880676
71.0,14.100439205094926,0.33109250664711
72.0,12.412725723001268,0.3306368887424469
73.0,12.797725799288802,0.33106669783592224
74.0,12.712231732655347,0.3423360586166382
75.0,12.196207139758695,0.37947508692741394
76.0,11.722052480822905,0.37680885195732117
77.0,11.024285553101889,0.36812496185302734
78.0,10.99630770189448,0.3568812906742096
79.0,10.69057387204088,0.3496638536453247
