iteration,image_index,loss,l1,mse,psnr,gaussians
1,109,0.13825957477092743,0.16353367269039154,0.03716319426894188,14.298869643836023,40707
500,36,0.05789818614721298,0.06993158906698227,0.00976456981152296,20.103468852585806,42307
1000,97,0.03987797722220421,0.04831533879041672,0.0061285351403057575,22.126433193652293,43907
1500,78,0.03926028683781624,0.04787587746977806,0.004797919653356075,23.18947029064367,45507
2000,179,0.030809270218014717,0.037597283720970154,0.0036572106182575226,24.36850027982137,47107
2500,2,0.030205324292182922,0.03680834174156189,0.0037932514678686857,24.20988365447045,48707
3000,155,0.13649457693099976,0.15753032267093658,0.05235159397125244,12.810700906349863,50307
3500,94,0.026743434369564056,0.03263154998421669,0.0031909747049212456,24.960766384754535,51907
4000,174,0.060267530381679535,0.07287756353616714,0.009827382862567902,20.075621240475392,53507
4500,57,0.05985063686966896,0.07190974056720734,0.011614222079515457,19.35009873929869,55107
5000,57,0.06278226524591446,0.07522127777338028,0.013026217930018902,18.851816603080344,56707
5500,8,0.03340239077806473,0.04036146029829979,0.005566104780882597,22.5444862241254,58307
6000,58,0.05049564689397812,0.060847364366054535,0.009088767692446709,20.414949969375982,59907
6500,27,0.08734879642724991,0.10464099794626236,0.01817997917532921,17.40406618586262,61507
7000,161,0.023753255605697632,0.029075002297759056,0.0024662595242261887,26.079612245736534,63107
7500,18,0.028446774929761887,0.034584347158670425,0.003896482987329364,24.0932721562013,64707
8000,5,0.0611095130443573,0.07311607152223587,0.013083280064165592,18.832833618844575,66307
8500,141,0.04013679176568985,0.04857206344604492,0.006395709700882435,21.94111256959273,67907
9000,46,0.039674073457717896,0.04790278151631355,0.006759243551641703,21.701019046101543,69507
9500,61,0.03400513529777527,0.0415361225605011,0.003881169715896249,24.110373660036892,69507
10000,120,0.034315355122089386,0.04171653836965561,0.00471061235293746,23.269226333773624,69507
10500,54,0.08674846589565277,0.10319051146507263,0.02098027430474758,16.781888379604084,69507
11000,169,0.021139685064554214,0.025827493518590927,0.0023884556721895933,26.218828144610534,69507
11500,98,0.03705955669283867,0.04492852836847305,0.005583674646914005,22.530798953932205,69507
12000,127,0.03851092979311943,0.046935565769672394,0.004812380764633417,23.1764001777503,69507
12500,18,0.025804661214351654,0.031465984880924225,0.00315936584956944,25.004000805685894,69507
13000,185,0.05936254560947418,0.07166190445423126,0.01016511581838131,19.928876687723903,69507
13500,174,0.048256371170282364,0.05836059898138046,0.007839472033083439,21.05713184871614,69507
14000,39,0.03716975823044777,0.04512859880924225,0.00533439451828599,22.729148681402126,69507
14500,167,0.028498945757746696,0.034696150571107864,0.003710127202793956,24.306112002166344,69507
15000,178,0.022585837170481682,0.027727430686354637,0.002019462874159217,26.947641264979517,69507
15500,177,0.017926549538969994,0.02196250855922699,0.0017827065894380212,27.4892013022555,69507
16000,174,0.04616786912083626,0.055951643735170364,0.007032777648419142,21.528731132265957,69507
16500,49,0.033158496022224426,0.03991034999489784,0.006151068955659866,22.11049404354123,69507
17000,2,0.03186681121587753,0.03877641260623932,0.004228399600833654,23.738239768432212,69507
17500,48,0.037733837962150574,0.045157290995121,0.008040020242333412,20.947428578283358,69507
18000,154,0.1024695485830307,0.1200452446937561,0.03216676414012909,14.925926253513293,69507
