index,name,psnr,ssim
0,00000.png,25.875359891839853,0.7276715636253357
1,00001.png,27.7898902367085,0.8272443413734436
2,00002.png,30.625288074668482,0.8480689525604248
3,00003.png,29.59711907892204,0.8527079224586487
4,00004.png,29.307173874508155,0.8498004078865051
5,00005.png,27.003755076177093,0.8446407914161682
6,00006.png,29.64660998570634,0.8546436429023743
7,00007.png,27.53618476841458,0.816279411315918
8,00008.png,22.29553829530554,0.6578611135482788
9,00009.png,23.43600601527487,0.7043338418006897
10,00010.png,23.555347167998963,0.7214425206184387
11,00011.png,25.469065298989403,0.7701030373573303
12,00012.png,27.010120329876553,0.8045349717140198
13,00013.png,26.372353164620108,0.7950485348701477
14,00014.png,20.5136296729657,0.587821900844574
15,00015.png,20.76603800796789,0.6204681992530823
16,00016.png,21.781924801898825,0.624117910861969
17,00017.png,22.11749445218281,0.637739896774292
18,00018.png,22.443085701562797,0.629788875579834
19,00019.png,22.57947317343617,0.6385791897773743
20,00020.png,31.030896279643365,0.8384888768196106
21,00021.png,30.267262243826334,0.8404877781867981
22,00022.png,28.691636971380877,0.7920219302177429
23,00023.png,30.626866295869416,0.8386591076850891
24,00024.png,32.07070476396392,0.8672217726707458
25,00025.png,32.12714115748777,0.8851044774055481
26,00026.png,33.1525488874646,0.89089435338974
27,00027.png,32.551958293425834,0.8848554491996765
28,00028.png,28.16375637191254,0.7815235257148743
29,00029.png,26.440742808200444,0.7410890460014343
30,00030.png,28.015574767821366,0.7827491760253906
31,00031.png,31.952645001297558,0.8899174332618713
32,00032.png,29.522817167857248,0.8534461855888367
33,00033.png,29.595202600801592,0.8674790263175964
34,00034.png,29.896670147967907,0.8859785199165344
35,00035.png,28.53127601993989,0.8444005846977234
36,00036.png,27.182787366174217,0.7994470596313477
37,00037.png,27.242826425756498,0.7894451022148132
38,00038.png,26.75967965223453,0.7569358348846436
39,00039.png,25.508912372436644,0.7221090793609619
40,00040.png,25.03309211969333,0.7415552139282227
41,00041.png,27.043125699751535,0.8528938293457031
42,00042.png,27.460314524963145,0.8631284832954407
43,00043.png,28.11441190773997,0.815319836139679
44,00044.png,28.855974290018796,0.8242644667625427
45,00045.png,28.2579244785269,0.7518137097358704
46,00046.png,27.12347029062659,0.6864691376686096
47,00047.png,25.65737493747793,0.7042338252067566
48,00048.png,27.980367984607597,0.8197050094604492
49,00049.png,28.015707951780513,0.8735988140106201
50,00050.png,30.03758742943928,0.8873779773712158
51,00051.png,29.22604969004218,0.8756656646728516
52,00052.png,27.549472239502943,0.8770623803138733
53,00053.png,27.359130230115372,0.8605336546897888
54,00054.png,27.889217373899395,0.8397429585456848
55,00055.png,27.601012118082537,0.8290444016456604
56,00056.png,27.077754463332862,0.8040981292724609
57,00057.png,27.226654107200154,0.8077447414398193
58,00058.png,26.956040324287134,0.8071234226226807
59,00059.png,26.8543948517928,0.7820112109184265
60,00060.png,26.709930382884572,0.7751503586769104
61,00061.png,26.534088006633034,0.7844236493110657
62,00062.png,26.095494377172695,0.786652147769928
63,00063.png,25.972315831961122,0.7981680035591125
64,00064.png,26.046164289162693,0.8107505440711975
65,00065.png,26.49089121160136,0.8202168345451355
66,00066.png,27.213116969682073,0.8391993045806885
67,00067.png,27.17744653621304,0.8314588069915771
68,00068.png,26.8716208554633,0.8156207203865051
69,00069.png,26.53971377006954,0.7844298481941223
70,00070.png,26.72663502475602,0.7816097140312195
71,00071.png,25.53007847802505,0.7403061389923096
72,00072.png,25.57449396722984,0.7424129843711853
73,00073.png,27.755792633342956,0.7884450554847717
74,00074.png,27.22450554311034,0.7802841067314148
75,00075.png,28.95170314934341,0.8636239171028137
76,00076.png,26.151052713462377,0.8119852542877197
77,00077.png,25.036098053142428,0.8190533518791199
78,00078.png,24.69956006238945,0.8150010108947754
79,00079.png,24.371454717036166,0.8130221962928772
