new_name,source_name,source_index,laplacian_var,mean,std
frame_00001.jpg,frame_00481.jpg,481,361.98689835448096,124.67742225711996,61.5144128010216
frame_00002.jpg,frame_00482.jpg,482,226.4874023219643,122.72381443130327,60.50478753771437
frame_00003.jpg,frame_00483.jpg,483,257.30146616261175,121.43024406602215,58.030417985658836
frame_00004.jpg,frame_00484.jpg,484,181.33785571620578,110.25303991973522,54.80979831652128
frame_00005.jpg,frame_00485.jpg,485,252.74785672541114,106.40660766768633,52.64661471111334
frame_00006.jpg,frame_00486.jpg,486,255.97434347590962,104.1940504817523,51.71690409339871
frame_00007.jpg,frame_00487.jpg,487,168.72983291490965,104.99721636049358,49.46025784726424
frame_00008.jpg,frame_00488.jpg,488,139.22625004243343,107.38077380270785,51.76239225745451
frame_00009.jpg,frame_00489.jpg,489,196.5189024337253,112.48524889172432,56.539743408927094
frame_00010.jpg,frame_00490.jpg,490,143.89893477995886,117.60497810712513,59.74766224978452
frame_00011.jpg,frame_00491.jpg,491,105.43737760588228,115.22254938847175,61.15472841843885
frame_00012.jpg,frame_00492.jpg,492,191.5325127552015,112.70226780738632,56.465546367378295
frame_00013.jpg,frame_00493.jpg,493,175.34318921612467,123.0532340383766,60.44041699725228
frame_00014.jpg,frame_00494.jpg,494,301.88732241830706,134.35147061229165,58.91411406021593
frame_00015.jpg,frame_00495.jpg,495,166.25981265387702,137.9542717006647,52.77850239352419
frame_00016.jpg,frame_00496.jpg,496,166.32530158688013,141.23576008898922,49.62766448519311
frame_00017.jpg,frame_00497.jpg,497,181.1354264500596,136.24328627592112,53.097238015859894
frame_00018.jpg,frame_00498.jpg,498,315.06406563245207,136.90902869793285,52.528233660082385
frame_00019.jpg,frame_00499.jpg,499,368.8118861109398,137.6810238122502,52.37107385214105
frame_00020.jpg,frame_00500.jpg,500,487.3163273983242,141.23649893943607,52.75833436419635
frame_00021.jpg,frame_00501.jpg,501,603.2881926775976,141.92147328414933,50.94033029684678
frame_00022.jpg,frame_00502.jpg,502,519.6656689805296,141.55531427044653,50.2677610154566
frame_00023.jpg,frame_00503.jpg,503,419.4689303720718,136.96716205089615,52.80014803382802
frame_00024.jpg,frame_00504.jpg,504,332.94142631411745,145.28604281515652,50.817660576101886
frame_00025.jpg,frame_00505.jpg,505,420.3955895972809,152.1893679148059,48.48095428465438
frame_00026.jpg,frame_00506.jpg,506,417.9666801969986,149.28730785798803,50.198924462406765
frame_00027.jpg,frame_00507.jpg,507,71.8226326743046,143.55490940221273,54.461166091168444
frame_00028.jpg,frame_00508.jpg,508,283.4717061526638,146.52877154526072,47.421413868583656
frame_00029.jpg,frame_00509.jpg,509,333.32607694518464,148.9714901877389,41.79310465148706
frame_00030.jpg,frame_00510.jpg,510,337.64676640506104,136.59110216856695,53.61887493123878
frame_00031.jpg,frame_00511.jpg,511,107.97747526862317,129.9395601249775,60.87051680875608
frame_00032.jpg,frame_00512.jpg,512,85.84709730765712,129.60633175748256,57.519583467299
