iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.11105452477931976,0.1329859495162964,0.023328829556703568,0.0,0.0,16.321070498824724,39463
500,76,0.04561387002468109,0.05501305311918259,0.008017132058739662,0.0,0.0,20.95980962615713,41063
1000,59,0.027659069746732712,0.0337785966694355,0.0031809627544134855,0.0,0.0,24.974414159751255,42663
1500,28,0.02573317103087902,0.03162219375371933,0.002177080139517784,0.0,0.0,26.621255840458286,44263
2000,62,0.024363311007618904,0.029669571667909622,0.0031382725574076176,0.0,0.0,25.033093408517637,45863
2500,5,0.03825841844081879,0.04669231176376343,0.004522840492427349,0.0,0.0,23.445887283009846,47463
3000,48,0.02654940076172352,0.0325167253613472,0.0026801025960594416,0.0,0.0,25.71848580579556,49063
3500,70,0.03658139333128929,0.044712893664836884,0.004055381286889315,0.0,0.0,23.919683071723355,50663
4000,38,0.024415504187345505,0.029903175309300423,0.0024648227263242006,0.0,0.0,26.082143103614776,52263
4500,51,0.016744811087846756,0.020538683980703354,0.0015693127643316984,0.0,0.0,28.04290492814058,53863
5000,42,0.024366768077015877,0.029780028387904167,0.002713727531954646,0.0,0.0,25.664337592219123,55463
5500,47,0.030687065795063972,0.03740714117884636,0.003806764492765069,0.0,0.0,24.194439901822964,57063
6000,68,0.030587701126933098,0.03732665255665779,0.0036318933125585318,0.0,0.0,24.39866917432792,58663
6500,20,0.018526237457990646,0.022848621010780334,0.0012367040617391467,0.0,0.0,29.077342128447064,58663
7000,38,0.021932771429419518,0.026846425607800484,0.002278150524944067,0.0,0.0,26.424175840352888,58663
7500,73,0.028756745159626007,0.035111553966999054,0.003337510395795107,0.0,0.0,24.765773728694903,58663
8000,11,0.028217734768986702,0.034232523292303085,0.004158583004027605,0.0,0.0,23.81054625710856,58663
8500,72,0.03307366743683815,0.040186911821365356,0.004620684310793877,0.0,0.0,23.352937018477906,58663
9000,32,0.02066611684858799,0.025375518947839737,0.0018284996040165424,0.0,0.0,27.37905129377591,58663
9500,52,0.01614019088447094,0.019713973626494408,0.0018450627103447914,0.0,0.0,27.33988868370034,58663
10000,75,0.021965695545077324,0.026815414428710938,0.002566822338849306,0.0,0.0,25.906041897342952,58663
10500,2,0.02547234110534191,0.03136785700917244,0.001890279701910913,0.0,0.0,27.23473929155352,58663
11000,1,0.05264592170715332,0.06345239281654358,0.00942003633826971,0.0,0.0,20.259474218908192,58663
11500,8,0.03635391592979431,0.04384272173047066,0.006398684810847044,0.0,0.0,21.939092819673675,58663
12000,65,0.02579525113105774,0.031418588012456894,0.0033018975518643856,0.0,0.0,24.81236405740157,58663
12500,36,0.023214086890220642,0.028329091146588326,0.0027540703304111958,0.0,0.0,25.600249734038997,58663
13000,64,0.028015611693263054,0.03408496826887131,0.003738177241757512,0.0,0.0,24.273401108511475,58663
13500,64,0.026356803253293037,0.03201327100396156,0.003730929922312498,0.0,0.0,24.28182908192837,58663
14000,2,0.02376461774110794,0.029240218922495842,0.001862203236669302,0.0,0.0,27.299729228459086,58663
