measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,4,3,6356,0.12906492197706085,0.10498623158257467,0.24412032142988502,0.8425110132158591,0.4710509754562618
local_accuracy_2,3,2,3301,0.30621424241252027,0.2704902650279086,0.6170003203433175,0.4192668888215692,0.2438654953044532
local_accuracy_3,5,2,2885,0.2204958762253717,0.14312851257546938,0.4906049500836877,0.6512998266897747,0.24124783362218372
local_accuracy_4,0,2,1399,0.09743177871304325,0.07948752578018023,0.1937082610087275,0.9149392423159399,0.6161543959971408
local_accuracy_5,2,1,948,0.13332583145363394,0.1002349016548327,0.2509027470046845,0.8343881856540084,0.4989451476793249
