index,psnr,ssim
0.0,25.038992819007934,0.8131949305534363
1.0,27.889377214573617,0.8623591065406799
2.0,28.014440628585326,0.8646535873413086
3.0,28.966548095009514,0.8804619312286377
4.0,29.2536094602437,0.8861247897148132
5.0,29.704497896970253,0.8858276009559631
6.0,29.040098006060376,0.8535879254341125
7.0,29.47910590587923,0.8346307277679443
8.0,29.681954168762864,0.822496235370636
9.0,28.124591964553012,0.8604957461357117
10.0,28.01017209641207,0.8418450355529785
11.0,31.326886950354652,0.8962602615356445
12.0,31.115318977141616,0.9061431884765625
13.0,30.737521689755525,0.8907322883605957
14.0,30.34747120564445,0.8656246662139893
15.0,30.75934981918232,0.8789107799530029
16.0,29.04122293085047,0.8729205131530762
17.0,29.34772552427927,0.8768278956413269
18.0,28.90860902890346,0.8716999888420105
19.0,28.476513855068752,0.8524198532104492
20.0,28.83531099498604,0.865039587020874
21.0,29.199706420989656,0.8896697163581848
22.0,28.898365474791376,0.878150224685669
23.0,29.57534596042029,0.8856260180473328
24.0,30.912424263181997,0.8966079354286194
25.0,29.86005919870277,0.8740720748901367
26.0,30.936510505026554,0.8987637162208557
27.0,31.09328647297591,0.9139071106910706
28.0,31.259621976426697,0.9139443039894104
29.0,34.6365310228365,0.9373145699501038
30.0,34.937448795956456,0.9305419325828552
31.0,32.631832630914914,0.9068174362182617
32.0,30.81429446945652,0.8787054419517517
33.0,31.21927916753359,0.8812652230262756
34.0,31.316063854226314,0.8790549635887146
35.0,31.74830396441522,0.8936293721199036
36.0,32.316408014091,0.9018738269805908
37.0,32.56004111000512,0.9118144512176514
38.0,32.42227648831735,0.9120557904243469
39.0,32.15990221873796,0.9099969863891602
40.0,31.004582999329116,0.909278154373169
41.0,31.85556406552458,0.9173104763031006
42.0,31.761875504654324,0.9180358052253723
43.0,31.386510991752537,0.9117003083229065
44.0,28.866549714506306,0.8692190051078796
45.0,29.073784019071496,0.8979105353355408
46.0,27.273428877065985,0.8721992373466492
47.0,29.108124893744414,0.8985714912414551
48.0,26.391787130714974,0.8692717552185059
