iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.022860923781991005,0.027956416830420494,0.0024789513554424047,0.0,0.0,26.057319953258514,50663
500,8,0.0328020341694355,0.03951353579759598,0.005956034176051617,0.0,0.0,22.250428189070934,50663
1000,37,0.01987631432712078,0.024303896352648735,0.0021659841295331717,0.0,0.0,26.643447298350843,50663
1500,77,0.02053993009030819,0.024898136034607887,0.003107106313109398,0.0,0.0,25.07643886620514,50663
2000,1,0.025308093056082726,0.030635491013526917,0.0039984998293221,0.0,0.0,23.98102918184788,50663
2500,16,0.033472828567028046,0.04033603519201279,0.0060199955478310585,0.0,0.0,22.20403829930401,50663
3000,27,0.009964555501937866,0.012340686284005642,0.0004600315587595105,0.0,0.0,33.37212374133681,50663
3500,56,0.014020838774740696,0.017199251800775528,0.0013071860885247588,0.0,0.0,28.836625826821315,50663
4000,65,0.017211822792887688,0.02098999172449112,0.002099142177030444,0.0,0.0,26.779581452152918,50663
4500,62,0.0166790634393692,0.02048061601817608,0.0014728526584804058,0.0,0.0,28.31840697019902,50663
5000,79,0.02120138704776764,0.025676459074020386,0.0033011019695550203,0.0,0.0,24.813410603012876,50663
5500,9,0.026656674221158028,0.03225131332874298,0.004278113599866629,0.0,0.0,23.68747687473656,50663
6000,36,0.019467387348413467,0.023761704564094543,0.002290113363415003,0.0,0.0,26.401430190194937,50663
6500,4,0.017551222816109657,0.021629922091960907,0.0012364217545837164,0.0,0.0,29.078333622203903,50663
7000,47,0.018909063190221786,0.023230252787470818,0.0016243000281974673,0.0,0.0,27.893337481516333,50663
7500,34,0.014961483888328075,0.018353480845689774,0.0013934950111433864,0.0,0.0,28.558945817671653,50663
8000,42,0.014624330215156078,0.017856445163488388,0.0016958683263510466,0.0,0.0,27.706078710410566,50663
8500,32,0.013473793864250183,0.016608817502856255,0.0009336951770819724,0.0,0.0,30.297948844962363,50663
9000,32,0.014315405860543251,0.01763908751308918,0.0010206775041297078,0.0,0.0,29.911114570327214,50663
9500,8,0.029229948297142982,0.035291481763124466,0.00498381070792675,0.0,0.0,23.02438461145046,50663
10000,34,0.01516107190400362,0.018605193123221397,0.001384586445055902,0.0,0.0,28.58679924397441,50663
