measurement_id,grid_x,grid_y,sample_count,mean_error_m,median_error_m,p90_error_m,ratio_below_20cm,ratio_below_10cm
local_accuracy_1,5,4,3371,0.33451973399448814,0.2925678050946576,0.6807266522484516,0.2767724710768318,0.10204687036487689
local_accuracy_2,1,0,3160,0.2330316948057218,0.2018741793926257,0.46177745589697444,0.4939873417721519,0.19462025316455697
local_accuracy_3,2,1,2747,0.11202659147479486,0.10579765091711449,0.185205689076762,0.9457590098289043,0.4572260647979614
local_accuracy_4,0,1,2031,0.2542878359648855,0.2276950297450174,0.49356897590683135,0.4224519940915805,0.18857705563761692
local_accuracy_5,1,4,1863,0.5962804421069269,0.6236669821421409,0.9884550801467384,0.07836822329575953,0.013419216317767043
