measurement_id,grid_x,grid_y,reconstruction_m,ground_truth_m,absolute_error_m,reconstruction_points,ground_truth_points,support_score
local_height_1,1,2,1.3635116901670608,3.2206523319390383,1.8571406417719776,1802,1773,1773
local_height_2,2,0,0.37983026547071663,3.2229754782030438,2.843145212732327,2439,1148,1148
local_height_3,0,3,3.683058260941051,3.214242606448605,0.4688156544924458,1076,1168,1076
local_height_4,3,2,2.469909366934503,3.224490053002344,0.754580686067841,1412,1053,1053
local_height_5,0,0,2.237904941551114,3.2236073735417663,0.9857024319906524,1516,955,955
