new_name,source_name,source_index,laplacian_var,mean,std,score
frame_00001.jpg,frame_00001.jpg,0,501.7719076037928,129.58095865163884,59.93020429935962,501.37666794088307
frame_00002.jpg,frame_00002.jpg,1,220.60481797841905,131.9202436843282,59.933479747980556,219.624757057337
frame_00003.jpg,frame_00004.jpg,3,570.6748989450494,132.79811661295687,60.796349199764336,569.4753697918102
frame_00004.jpg,frame_00005.jpg,4,568.905727028072,132.22360177324109,61.012772706387096,567.8498265847617
frame_00005.jpg,frame_00007.jpg,6,508.8475088533,122.82319663236873,55.766035035165935,507.5533080113922
frame_00006.jpg,frame_00009.jpg,8,838.2771430763208,125.73349582590393,49.681378438997534,837.7105170327968
frame_00007.jpg,frame_00010.jpg,9,1277.4183706515123,129.09105718320765,53.543709285610305,1277.1456063557105
frame_00008.jpg,frame_00012.jpg,11,457.94718239191195,135.7159528989656,51.95008164533359,456.0181941671706
frame_00009.jpg,frame_00014.jpg,13,415.651246059036,137.65897689661,56.864056972619295,413.2365018348835
frame_00010.jpg,frame_00015.jpg,14,381.250503356636,136.01412267643803,55.48967771480674,379.24697268752647
frame_00011.jpg,frame_00017.jpg,16,668.1000150763061,133.0899761713915,62.43000208212762,666.8275210334583
frame_00012.jpg,frame_00018.jpg,17,526.7758159012985,130.98360624451314,62.59696604016323,526.0299143401702
frame_00013.jpg,frame_00020.jpg,19,375.84111289205345,126.00739259404666,56.97986917881963,375.3429610405651
frame_00014.jpg,frame_00022.jpg,21,141.46270030805607,127.86372980430005,55.22704875983873,141.4286327591311
frame_00015.jpg,frame_00023.jpg,22,218.7028236653219,135.2583822719515,58.7190657289873,216.888228097334
frame_00016.jpg,frame_00025.jpg,24,128.170276292124,124.37603261847508,56.438706809851354,127.26428444674275
frame_00017.jpg,frame_00027.jpg,26,80.43142525385424,141.6031991406433,47.107114777092335,77.03062546869342
frame_00018.jpg,frame_00028.jpg,27,57.67005581654265,148.68455720774512,43.704635574145065,52.49891651460637
frame_00019.jpg,frame_00030.jpg,29,200.649509493762,144.5125345569351,47.03349014947738,196.52137585452823
frame_00020.jpg,frame_00032.jpg,31,564.5701900837776,140.24787341937807,54.366491167473356,561.508221728933
frame_00021.jpg,frame_00033.jpg,32,922.2478834681697,133.6348470225145,55.12253906223894,920.8391717125411
frame_00022.jpg,frame_00035.jpg,34,1150.906490298447,124.4583585523984,54.322516639441375,1150.0210799365466
frame_00023.jpg,frame_00036.jpg,35,1228.2979870590577,118.52371818989819,52.899412507158864,1225.9289166065323
frame_00024.jpg,frame_00038.jpg,37,555.5369087936089,117.76910241939441,50.1788573125041,552.9791843984575
frame_00025.jpg,frame_00040.jpg,39,332.4465175879595,122.24643661426553,47.65297033816075,331.00812674152587
frame_00026.jpg,frame_00041.jpg,40,298.1798179782596,122.42904173005513,43.29847591002364,296.7870784107734
frame_00027.jpg,frame_00043.jpg,42,288.81158594201486,124.76852851526503,50.529396643146235,288.0037180708311
frame_00028.jpg,frame_00045.jpg,44,175.9318944957478,136.4639217418331,58.37949313898104,173.81591406028951
frame_00029.jpg,frame_00046.jpg,45,188.04463365532447,136.38379191135976,63.0773369203422,185.94868567748455
frame_00030.jpg,frame_00048.jpg,47,365.3629997053102,131.80029635809436,59.30933427034175,364.4129256157866
frame_00031.jpg,frame_00049.jpg,48,179.69515185643095,130.19990266804078,60.01183355722304,179.14517618942077
frame_00032.jpg,frame_00051.jpg,50,1120.5216928180207,121.62101606931563,51.90479794075404,1118.9269468353496
frame_00033.jpg,frame_00053.jpg,52,950.8950827085159,120.27805859547529,54.9369925699288,948.9645973573847
frame_00034.jpg,frame_00054.jpg,53,766.7919506895093,121.28996744695817,53.65250429646866,765.1144425512489
frame_00035.jpg,frame_00056.jpg,55,280.31128632610904,123.17638623066311,53.05034846101258,279.10538288377484
frame_00036.jpg,frame_00058.jpg,57,191.3921011935229,129.81015360455416,61.23771690955113,190.93956279238438
frame_00037.jpg,frame_00059.jpg,58,414.7021736185532,135.16711243068164,64.81690872511768,412.91039551088284
